Identifier,English
a_string,An example string.
IDS_TooTiredHeader,Tired Horse
LowResolution,Low
MediumResolution,Medium
HighResolution,High
IDS_card_common,Common
IDS_card_energy,Energy
IDS_card_rare,Rare
IDS_card_foil,Foil
IDS_KeyboardUpperCase,ABCDEFGHIJKLMNOPQRSTUVWXYZ
IDS_KeyboardLowerCase,abcdefghijklmnopqrstuvwxyz
IDS_PreCardRaritysFound,Congratulations you have found
IDS_PostCardRaritysFound,A new bonus code is available to you.
IDSwac_alltrophies,All Trophies
IDS_AllTrophiesCollected,"Congratulations, you have collected all the trophies and unlocked a new Bonus Code."
IDS_Buy,Buy
IDS_Enter,Enter
IDS_Resolution,Resolution
IDS_ResolutionChange,You will need  to restart the game for the changes to take effect.
IDSwac_allchallenges,All Challenges
IDSwac_common,All Common Cards
IDSwac_rare,All Rare Cards
IDSwac_energy,All Energy Cards
IDSwac_foil,All Foil Cards
IDSwac_allcards,All Cards
IDSwac_Jewel,Find Jewel
IDSwac_Fiona,Find Fiona
IDSwac_Thunder,Find Thunder
IDSwac_Bella,Find Bella
IDS_CardNotUnlockedYet,You still need to find this card.
IDS_TooTiredMessage,Your horse is tired. Go care for them in the paddock to make them feel better.
CheckpointPlaceholder_77,The next checkpoint is where two rivers join up.
CheckpointPlaceholder_78,The last checkpoint is down in the town.
IDS_BonusCodes,Bonus Codes
IDS_NewProfile,Create Profile
ConfirmOption,Confirm
CancelOption,Cancel
Player,Player
Continue,Continue
profile_confirm,Are you sure you want to use this Profile?
profile_confirm_copy,Are you sure you want to copy this Profile?
profile_confirm_delete_confirm,Are you sure you want to delete this Profile?
face_instructions,How would you like to appear in the game?
IDS_ChooseLook,Choose your look
IDS_Gender,Gender
IDS_Appearance,Appearance
IDS_HairTone,Hair Tone
IDS_HairCol,Hair Colour
IDS_SkinTone,Skin Tone
IDS_EyeCol,Eye Colour
IDS_EyeColour,Eye Colour
IDS_NameEntry,Name Entry
IDS_Backspace,Backspace
IDS_Difficulty,Difficulty
IDS_Easy,Easy
